individual_id,user_x,user_y,gender,age,edu_secondary,edu_tertiary,income_k,logincome,risk,has_children,logit_0,cuisine
0,54.340494179096545,27.836938509379618,1,56.13362883124146,0,0,100.2337713777611,4.607505171563859,-1.890643127099324,1,84,Chinese
1,42.45175907491331,84.47761323199036,1,27.592816809724948,0,0,142.69303077687348,4.960695685006165,0.5163076633235237,0,94,Korean
2,0.47188561909725646,12.156912078311422,0,18.0,1,0,30.712111708309198,3.4246570949772814,1.4816966146410524,1,92,French
3,67.07490847267786,82.58527551050476,0,43.27702649293412,0,0,96.05209985780807,4.5648907511078995,1.2678763216343614,0,63,Indian
4,13.670658968495298,57.509332942725,1,31.396656799124695,0,1,24.343886005726354,3.1922807299401947,-0.4649321678107418,0,31,Japanese
5,89.1321954312264,20.920212211718958,1,38.9096428215324,0,0,113.01920308991892,4.72755774312321,-0.7059261424220293,1,4,Chinese
6,18.532821955007506,10.837689046425513,0,51.872677290127825,1,0,70.54367183151966,4.256231976636056,1.622846802205606,0,63,Indian
7,21.969749262499217,97.86237847073697,1,39.54039148039952,0,1,36.035466550861905,3.5845036354512394,1.8619406959491298,1,44,Mexican
8,81.16831490893233,17.19410127325942,1,36.254799013688995,0,0,113.92788742310833,4.735565681775956,0.4713461208346106,0,69,Korean
9,81.622474872584,27.407374704169918,0,53.05481681939118,0,0,25.237823906407755,3.22834381788677,-0.6642032824991103,0,47,Lebanese
10,43.17041836631217,94.00298196223747,1,37.47372977175395,0,0,61.717002273950705,4.122559456547924,0.32379000810712094,0,57,Mexican
11,81.76493787767274,33.611195012089865,0,18.0,0,0,86.51227473890854,4.4602863083663955,-0.5092817037410653,1,67,Japanese
12,17.541045374233665,37.283204628992316,0,30.972906732515987,0,0,85.6425288553391,4.450181992189519,-1.5341419209521547,0,75,Japanese
13,0.5688507352573424,25.242635344484043,1,43.3971543735899,1,0,84.67136730937091,4.4387774962113005,0.7950488989211609,0,99,Ethiopian
14,79.56625084732873,1.525497124633901,1,31.477140532446,0,1,51.63441242213482,3.9441883576093097,-1.0112869311553025,1,80,Japanese
15,59.884337692849286,60.38045390428536,0,18.0,0,1,88.91178327836937,4.487644679049996,-1.2185858502087084,0,38,Mexican
16,10.514768541205633,38.194344494311004,0,21.530640127189294,0,1,56.260859260093625,4.029999075964874,-0.7092074269163996,0,38,Mexican
17,3.6476056592568917,89.04115634420758,1,20.40414879357396,1,0,22.522680157067867,3.1145228084932786,-2.247598338317034,1,97,Mexican
18,98.09208570123114,5.994198881803725,1,58.5279545495187,0,0,83.40980959702955,4.423765923515386,-1.133141423052616,0,38,Mexican
19,89.05459447285041,57.69014994000329,0,44.49142295152089,0,0,126.42000041260462,4.839609700307913,1.3319284832786034,0,22,Chinese
20,74.24796890979773,63.01839364753761,1,50.70731753569185,1,0,75.31208774926398,4.3216406498012985,1.6457102106479509,0,5,Japanese
21,58.18421923987779,2.0439132026923157,1,18.0,0,0,46.202185056484566,3.833027092564196,-0.6596418119332899,1,97,Mexican
22,21.00265776728606,54.468487817864755,0,25.213195004487464,0,0,25.278713028883544,3.229962659315185,1.6837238667587708,0,22,Chinese
23,76.91151711056517,25.06952291383959,0,51.53190015920214,0,0,78.32731488925944,4.360896391323438,-0.43492671177510445,1,38,Mexican
24,28.58956904068647,85.23950878413063,0,28.846654023104684,1,0,66.02970773313696,4.190104757922823,1.545996137245186,0,15,Japanese
25,97.50064936065876,88.48532934911056,1,32.115549758627225,0,1,33.582038039929394,3.513991341884221,0.7001710725248208,1,69,Korean
26,35.95078439369023,59.88589458757472,1,45.06741971654118,1,0,54.22651878255681,3.9931700652198536,-0.7963476610501997,1,41,Indian
27,35.479561165729976,34.019021537064575,1,25.20592946848413,1,0,73.59638727655353,4.298595938613685,-0.6845210133280532,0,92,French
28,17.808098950580487,23.769420862405045,1,31.287631608086755,0,0,62.308003552875356,4.132089885485533,-1.7707312696682231,0,74,Indian
29,4.486228246077529,50.54314296357892,1,29.09261047297911,1,0,50.63108565117826,3.9245657285956574,0.31925246007013486,1,99,Ethiopian
30,37.625245429736296,59.28054009758866,1,53.138197221019894,0,1,113.40849673131646,4.730996315570677,2.2619892187116006,0,4,Chinese
31,62.994187558749736,14.260031444628352,1,43.48890862752625,1,0,47.01503388526866,3.8504674204619223,-0.7892570189907289,0,47,Lebanese
32,93.3841299466419,94.63798808091013,0,49.33379822734082,0,1,35.982313084154185,3.5830275145092,-0.15669633160705143,1,71,Lebanese
33,60.22966577308656,38.776628032663076,0,29.77101259654386,1,0,34.465302353346175,3.5399530890641477,-1.3685783394451214,0,75,Japanese
34,36.31880041093498,20.434527686864424,1,43.20868062985207,0,1,29.50285864115825,3.384487161741083,1.3404213300165604,0,92,French
35,27.676506139633517,24.653588120354964,0,21.80884931116341,1,0,39.73960453885314,3.6823482858626106,0.1892161636132023,0,46,Lebanese
36,17.360800174020508,96.66096944873236,1,28.51159173621542,0,1,79.54823413428399,4.376363556351165,1.5955074283121842,0,48,Lebanese
37,95.70126003527982,59.79736843289207,1,31.91808907924077,0,0,164.62521633933392,5.103671474196728,0.09554730779898454,1,32,Chinese
38,73.13007530599226,34.03852228374361,1,43.237706926938145,0,0,61.756375558966795,4.123197218096878,-0.14268685383429952,1,81,French
39,9.205560337723862,46.34980189371477,1,33.13152154902804,0,0,47.336220469946376,3.8572757629169176,-0.6390629311983266,1,75,Japanese
40,50.86988932381939,8.846017300289077,0,35.248467365702744,1,0,95.51262894578545,4.559258479013716,-0.5292854333015953,0,18,Chinese
41,52.80352233180474,99.21580365105282,0,43.00222110869468,0,1,53.30912918607912,3.976107595793715,-0.7657580609735285,0,52,Ethiopian
42,39.50359317582296,33.55964417185683,1,29.5689541578598,1,0,63.8396534028936,4.156374523974146,-0.8905446963734535,0,76,Lebanese
43,80.54505373292797,75.43489945823536,1,62.26737869949175,0,0,91.15858360123846,4.512600666753906,-0.0322129084153831,0,6,Indian
44,31.306644158850972,63.40366829622751,0,33.41947387150983,1,0,43.500867409147645,3.772780878336006,-0.12014913792832319,0,58,Mexican
45,54.04045753007164,29.67937508800147,0,18.3028212407449,0,0,49.994972406670264,3.9119224485058735,-1.3573006405877543,0,75,Japanese
46,11.078790118244575,31.26402978757431,1,35.86123094904507,1,0,68.25677239550622,4.22327665838036,-0.07139756326570887,0,99,Ethiopian
47,45.69791300492658,65.89400702261969,0,32.317482297331566,0,0,116.82334979520856,4.76066296304447,-0.2521106974610046,0,67,Japanese
48,25.42575178177181,64.11012587007016,1,60.76537953277804,1,0,37.42832714197364,3.622427827943322,-1.0845405008084215,0,18,Chinese
49,20.012360721840317,65.76248055289837,0,27.656759151362408,1,0,60.79543574639557,4.107514716193632,-1.575130984831882,0,58,Mexican
50,77.82892154498485,77.95983986107497,1,44.61473586138368,0,0,49.84828657304157,3.9089841241629975,0.14116895356009687,0,31,Japanese
51,61.032815320939385,30.900034852440218,1,18.0,1,0,71.46144281089664,4.269158042860186,-0.20205918140240375,0,74,Indian
52,69.7734907512956,85.96182957290651,0,42.49325444367489,0,0,97.11038406607909,4.575848311557551,0.24599513447129806,0,30,Lebanese
53,62.53237577568076,98.24078296095496,0,46.58902455522269,0,1,32.60523469248504,3.484472848871247,0.6331094239056014,1,22,Chinese
54,97.65001270158552,16.66941311988581,1,29.556040061597574,1,0,15.735275460321429,2.7559050365799433,-0.7693307481651505,0,69,Korean
55,2.317813647840361,16.074454850708165,0,60.60060893196534,0,0,59.197677268383586,4.080882305788876,-0.03774879071743427,1,15,Japanese
56,92.34968252590873,95.3549849879534,1,33.606558242845374,0,0,48.73294199518535,3.886355228420771,-0.7721616874985677,1,74,Indian
57,21.097841871844636,36.052525081460814,0,39.91917689594745,0,0,54.733931725913465,4.002483841163417,0.5145741810743417,1,92,French
58,54.93752616276721,27.183084917697208,0,22.256124328625827,0,0,77.85171312185294,4.3548059034566835,-0.09004457900081092,1,92,French
59,46.06016210748501,69.61615648233852,0,23.06019544102938,0,1,36.34916854662997,3.5931713301726695,0.3327885178521656,0,34,Lebanese
60,50.035589667486505,71.60709905643361,0,39.61475279986262,0,1,62.88132227588167,4.141249176460313,0.8184838012088022,0,69,Korean
61,52.5955936229779,0.13990231190438296,1,18.0,1,0,42.302544077078515,3.7448472279098333,0.542366299121906,1,88,Ethiopian
62,39.470028668983545,49.216696990115,1,39.280715104730405,1,0,89.49238498342883,4.494153537676927,-0.11893103783953614,0,70,Chinese
63,40.28803313791421,35.42983001063206,0,38.71250108461253,0,0,36.36904184929826,3.59371791411787,-0.8572674712497241,1,44,Mexican
64,50.06143194429532,44.51766288311383,0,47.36985296730045,0,0,39.332188351424406,3.6720432256643103,1.1858377934604645,0,4,Chinese
65,9.043278819643586,27.356292002744066,1,37.58673694507483,0,1,109.55408978701698,4.696418397950902,-1.5485709259324436,0,12,Japanese
66,94.34770977427269,2.6544641333941965,0,35.60402364654085,0,0,117.08468569003492,4.762897482290663,-1.2178007474764665,0,61,Lebanese
67,3.9998689640650786,28.314035971981955,0,18.0,0,0,56.43867832120472,4.033154709297323,-0.7267802297646647,1,67,Japanese
68,58.23441702167689,99.08928029248271,0,28.363768405087765,1,0,39.93964143661649,3.6873693503964566,-1.5624169232405651,1,22,Chinese
69,99.26422374029681,99.31173724810448,1,18.0,0,0,48.46675948090884,3.88087819144135,-0.8199939472449628,0,71,Lebanese
70,11.004833096656297,66.44814459639402,1,31.086652425999848,0,1,112.97702767218138,4.727184503108676,-0.6616999418743651,1,67,Japanese
71,52.398683448831285,17.3149909808731,1,38.25340887265254,0,0,27.892909810941557,3.328372527891078,-0.09550508003978876,1,86,Mexican
72,94.29602449150258,24.186008597625232,1,36.33235000810434,0,0,38.840556376384576,3.6594649681502,-0.17869042327018378,0,31,Japanese
73,99.8932268843212,58.269381514989874,0,58.47124992129919,0,0,142.98564372091144,4.962744231660077,-0.3922661026928984,1,23,French
74,18.327900063057577,38.68454219177902,1,23.892501203292518,0,0,45.702821385650566,3.8221600330984535,0.36002975522453373,1,88,Ethiopian
75,18.96735289121496,41.077067302531,0,37.194841829815005,0,0,20.0437977860183,2.9979197685422134,-0.8777078209796271,0,75,Japanese
76,59.46800689017054,71.65860931283399,1,27.075089363677865,0,0,25.119474593444888,3.2236434255152107,-0.15777582689371356,1,69,Korean
77,48.68914823691235,30.95898177667046,1,36.393800827576655,1,0,98.8408945197561,4.593511431259102,-0.20640009796826814,1,38,Mexican
78,57.744137282784735,44.17078195687429,1,29.83542205421482,1,0,30.069224362115914,3.403502202258575,0.879588091562181,1,75,Japanese
79,35.967810260053625,32.13319320088136,0,44.545632984468796,1,0,72.90710045595387,4.289186034216043,0.2736569637721924,0,75,Japanese
80,20.820724019602267,45.12586240618344,1,53.73864872498532,0,0,64.74701589361251,4.170487612932493,-0.5636875743037771,1,97,Mexican
81,49.18429102640539,89.90763147937112,1,18.0,1,0,51.23653658401625,3.936452882706935,0.2390799268816396,1,22,Chinese
82,72.93604610294412,77.00897729196954,1,32.794760963177424,0,1,93.74506941595736,4.5405790705710105,-0.5736222245919168,1,38,Mexican
83,37.54392475619882,34.37395352353844,0,42.49525223279242,0,0,47.348584019493,3.857536914633575,0.5100154887180522,1,67,Japanese
84,65.50352059993224,71.10379932104975,1,18.0,1,0,66.70372001530822,4.20026072370981,0.2677479943284051,0,58,Mexican
85,11.353757521867625,13.302868937357504,0,18.0,1,0,140.76457998052297,4.947088849438423,0.30455331200556496,0,75,Japanese
86,45.60390576061239,15.973623015851013,0,46.25648379528513,1,0,30.667337819247393,3.4231981735516896,-0.5919037496594983,0,92,French
87,96.16419037746458,83.76157448618098,0,43.14601451174117,0,1,155.30342348859762,5.045380774268382,0.21505703218881642,1,71,Lebanese
88,52.01606870379233,21.82722577281544,0,23.196378171790858,1,0,73.64862714662159,4.299305502498949,0.9221240069658875,1,92,French
89,13.491872253239878,97.90703454838689,1,36.7468037962667,0,1,36.31136527650247,3.5921307852840116,-0.1689935720715724,0,75,Japanese
90,70.70434956891431,85.9975556945663,0,18.0,1,0,76.45076332613809,4.336646916970589,-0.6751647544607784,1,22,Chinese
91,38.717262782863905,25.083401983172482,1,41.537649910307124,0,0,40.2471874198556,3.6950401236554447,0.39564523101518356,0,67,Japanese
92,29.943801894470223,85.68955284050158,1,52.871037203242636,1,0,39.16751131294607,3.667847610120494,-0.6161290291582273,1,58,Mexican
93,47.298399056822106,66.32770470161282,0,41.81629243794361,1,0,24.865565471663498,3.2134839335796803,-0.9977768306329339,0,75,Japanese
94,80.57286074367852,25.29805046497241,0,41.856230433088584,1,0,137.63047598560877,4.924572383429178,-1.5706560648678511,0,88,Ethiopian
95,7.957343897032487,73.27606050157152,1,37.16718803382828,0,1,30.347137831362893,3.4127022076668068,-0.7830097054088565,1,34,Lebanese
96,96.13974775036056,95.38047341676628,0,35.37692251370445,1,0,50.34688925463227,3.918936834825616,0.12619898530754206,1,22,Chinese
97,49.049905188389964,63.21920644327551,1,31.5399364319547,1,0,99.06320999538559,4.595758131191764,0.2693373079184067,0,69,Korean
98,73.29950198379923,90.24095032479661,1,46.18473073992253,1,0,133.07190528929456,4.890889623400806,0.6064941994256933,0,0,Japanese
99,16.224691874820007,40.588132236756124,1,53.640451068667716,0,0,55.07758979298655,4.008742914605765,0.03634146494661629,0,97,Mexican
100,41.709073558366086,69.55910282920739,1,37.441157223237006,0,0,48.31496916206883,3.877741433182804,0.5790493664039412,1,46,Lebanese
101,42.48472379248316,85.81142260514298,0,26.972895773024064,0,0,22.13257861780178,3.097050668639615,-1.482910270182441,1,99,Ethiopian
102,84.6932479609419,7.019911390868883,0,41.28778058755603,0,1,48.20911783426224,3.8755481698527317,-0.9295244447337391,0,96,Ethiopian
103,30.17524134841485,97.96236810301701,0,19.920453238968047,1,0,22.046333005975466,3.0931462844790016,-0.3083692205836733,0,22,Chinese
104,3.5626996553034807,49.23926469985821,1,68.79661022688691,0,0,43.50308806874684,3.772831925661096,0.16418115159074925,0,80,Japanese
105,95.23768530135463,81.05737585294712,0,42.22877112490152,1,0,80.63709239001179,4.38995874700152,-0.31339374746162024,1,85,French
106,29.43304412963712,59.623351851834116,0,53.48730149617347,0,1,75.8558768388072,4.328835182540105,-0.5559882766605733,1,34,Lebanese
107,43.117785229972995,59.23975029889863,0,48.15669314806689,0,1,50.53631021319519,3.9226920920371757,-1.2388527216056422,0,69,Korean
108,89.37521047202061,55.40211897717062,1,27.32300542079969,0,0,35.59845559889261,3.572302254863378,0.8280432980712752,1,94,Korean
109,49.286650734527385,31.92704571895012,0,49.45494241954487,1,0,33.55327397851069,3.513134443709059,-1.6607853491546543,0,70,Chinese
110,26.3365783050724,54.228061353579584,1,39.125334132577045,1,0,45.32492384542631,3.813857076450343,1.151612069601214,0,18,Chinese
111,8.226452393202399,63.563670982539854,1,22.55039951310078,0,0,55.752424935792845,4.020920906000428,0.6886543498181732,1,58,Mexican
112,79.64052251862078,95.47475054308089,1,49.8133950467516,1,0,51.339054078126054,3.9384517506165784,-0.8394338854326475,1,71,Lebanese
113,68.4624271692713,48.829316680509926,0,43.82089784860326,0,1,32.10312702180489,3.4689534404009343,1.3453989815942027,1,1,Mexican
114,48.54143101843673,96.66929205829678,1,60.194855266725625,0,1,48.75018300079811,3.886708951299336,-0.2765282398756794,1,97,Mexican
115,21.134788749712165,41.1648138177833,1,44.42046977190639,0,1,53.18437002793125,3.973764556713504,0.7736707010664142,0,92,French
116,98.96655767792834,2.841185671325175,0,34.05649944113878,0,1,42.32891494225686,3.745470420900652,-0.21651676156436225,1,26,Lebanese
117,70.13265140935161,2.51715638848119,1,55.92819383078367,1,0,32.43684219939709,3.4792948817038254,-0.7355488591666024,1,88,Ethiopian
118,32.08817260865362,7.352706186557412,1,46.30397630394837,0,0,108.11855418714023,4.683228349020837,-0.2465700860166522,0,92,French
119,6.088456434663547,11.140631670405321,0,26.060539927874228,0,0,33.61429605833589,3.5149514544057556,0.44779652263292147,0,63,Indian
120,16.926890814543093,62.768627950105405,0,48.64910322058989,0,1,46.15033097961304,3.831904132745745,0.33954195789177677,1,58,Mexican
121,43.839309463984335,83.09037646039748,1,35.20793959027442,0,0,43.334557190047036,3.7689504042358903,-1.2659758429423424,0,31,Japanese
122,23.979218956447223,19.005270791973704,1,31.236551716101722,0,0,82.13218360241342,4.408329944546038,0.9829115008929938,0,92,French
123,71.18996585829157,85.82949253267775,0,46.738659899607946,1,0,66.31956721752007,4.194484985135061,0.6381725394133659,0,16,Chinese
124,55.90558855960195,70.44204082888571,0,26.334235303921766,0,1,90.56115469132263,4.50602536494031,1.606509116929262,1,69,Korean
125,60.51120355181791,55.92172832680401,0,39.18487971969952,0,0,61.83306024524089,4.124438176850612,0.05744604883676743,0,38,Mexican
126,86.03941909075867,91.97553591500697,0,39.36302273723252,0,0,96.11906734184107,4.565587707760863,1.0127741888163457,1,31,Japanese
127,84.96073257589813,25.446653549445454,1,36.04882725120602,1,0,92.9599893737032,4.532169178793173,-0.30843413615413734,1,18,Chinese
128,87.75555422867708,43.513019009222575,0,36.27975698034754,0,0,103.88622719001043,4.643296330993338,0.8491556305618084,1,67,Japanese
129,72.9494343964508,41.26407675387943,1,37.62023394534389,0,1,68.80144518875339,4.231224750369168,0.119988588541746,0,88,Ethiopian
130,19.08360458112225,70.60195199561622,0,45.19994811968485,0,1,61.30748317203982,4.1159019100763325,0.3612637334556944,1,5,Japanese
131,24.063282092985293,85.13244268329953,0,44.60778244114387,0,0,110.85432297626308,4.708216933734586,1.3630435354916937,1,46,Lebanese
132,82.41022892585868,52.52117866139705,0,35.733775717574865,0,0,75.1955154169032,4.320091593764011,0.7874404253471214,1,75,Japanese
133,38.63407943061684,59.08807907349247,1,38.959673141413184,0,0,45.75546429143734,3.823311222653577,-1.2889088829640314,0,58,Mexican
134,13.752361490782572,80.82704078916083,0,24.32643674116414,1,0,145.95935691232495,4.983328205641337,-1.3750576782931714,0,39,Mexican
