restaurant_id,x,y,rating,cost,cuisine,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_30,c_31,c_32,c_33,c_34,c_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,Chinese,Ethiopian,French,Indian,Japanese,Korean,Lebanese,Mexican
0,87.34294027918162,96.8540662820932,4.000886843769769,20.061857939371833,Japanese,1.7494547413051793,2.0546436812401443,0.10003687797129332,2.1421195861570923,-0.22940712586425938,0.47298583148997897,0.6513082973817005,0.4129884442828932,4.003477853771663,0.027213200872589445,-0.23614741126698593,0.733957260258602,0.2732867611662368,3.8814732626913773,0.2742658345451792,1.128001441169827,0.9963294132211792,0.2302057149156757,1.116130631361744,0.17009535516861163,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,False,False,False,False,True,False,False,False
1,86.919454021392,53.085569155559895,3.768364744599841,16.19559380268649,Mexican,-0.28607299681629417,0.7474553536085543,0.5793056515463151,2.8402258330044363,-0.3188083639847355,-0.6814258794394451,0.4161886867092634,0.0494422604474136,1.07266826329808,-0.2625455774655815,0.7346510520757458,6.644037077373573,0.04344654526877818,2.688935299100985,-0.02050277499465276,-0.29375497244497006,0.6849257362132692,0.10674155547886845,3.9157619575297575,-0.14677406185244582,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,False,False,False,False,False,False,False,True
2,23.27283279772907,1.1398804277429897,3.1071469575484687,14.94695827426598,French,-0.4845651322211443,1.8929376307003956,0.015585877797536658,3.511720763406027,0.25227063653274445,0.24243949669047796,2.3231142337068094,0.4847166404935446,3.94378939261702,-0.4963921894821779,1.3743878092008102,1.1680405075386582,0.287193052277896,3.0482581585863335,-0.00784588053405672,0.8610452044490624,1.099645048357019,0.35479454627289275,2.722292741490614,-0.14986296735516608,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,False,False,True,False,False,False,False,False
3,43.04688182924905,40.235136003736486,3.9896937946033644,24.875950858022474,Ethiopian,-2.653318559261479,0.46813560215266115,0.20687003744787924,4.593657478359321,0.1904442374768969,-1.7007356340383315,1.2549585876748872,0.48578865653662784,3.106334491214775,-0.048194962814483586,0.3549507240091191,1.581911643956231,0.3725075320360447,2.30934459931036,-0.015170679185573032,1.2176491770836646,0.9009746951907847,0.32434134109155016,3.312866985859335,-0.16928653582239137,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,False,True,False,False,False,False,False,False
4,52.267467135256965,47.83917958024024,3.6973108286336656,16.468443250602338,Chinese,-0.00828462937293585,0.9672375470194032,0.47315519871282957,3.496415357683238,-0.2564117322189296,0.7531428339492002,0.5282885414102392,0.19590727374889838,3.7146707423713847,-0.3296927413269325,-1.5927511491056998,0.7996728121229985,0.19056799976377475,2.428832880652069,-0.20323863002041997,0.4337247712417345,0.27980491456847156,0.40873121735677725,2.192793759312734,-0.6061075878792218,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,True,False,False,False,False,False,False,False
5,55.535647382233044,54.338601754254036,3.615091709698477,19.6884135320333,Japanese,-0.31963136376429857,1.8970483718516928,0.10388253459390517,2.1612679617714456,0.3234924939830443,-1.534721340208044,1.6154523904905134,0.2741092189988787,3.0224164083274254,-0.19615814498960657,-0.6893427003413161,0.7628661800578034,0.6059583427532304,3.5510451545654536,-0.13875808337809942,0.8857060919538544,1.0797054906869799,0.08644058385352349,3.2988140167875857,-0.0593830796761909,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,False,False,False,False,True,False,False,False
6,76.0895575602929,71.23745740820912,2.786135056963462,27.857015070268336,Indian,-0.53662936223473,0.8551404207931734,0.43028049548640396,2.148217001273365,0.007605799156779586,0.0051270781322723565,1.0911206975217347,0.0788258584460799,3.3505087364061543,0.2339282772568095,1.6124788226656805,0.5010927537667317,0.3962170345741775,1.7794979016213537,0.2828709510917191,0.234115489773704,1.033010866983567,0.4882108332027574,3.2208965792456623,0.3764453062105718,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,False,False,False,True,False,False,False,False
7,61.96820961034396,42.60917704761922,3.6073024150226027,23.969754574415504,French,0.3154026684256969,1.996777966582952,0.6334326248676889,1.8042068756911294,0.04890952304107163,-0.12022767015619135,1.9165351883138864,0.39779204377570154,4.548540156689098,0.11239419348952077,-0.3173398109067477,0.6489477396087094,0.496529682003908,2.0771475952000906,-0.01841921056584502,0.908286681147816,2.0551663320720306,0.12530087041833765,2.3170157002088345,0.4514721681523985,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,False,False,True,False,False,False,False,False
8,28.90750280180877,97.38552412004462,3.807455537197862,19.89886766112662,Japanese,0.42105071625547846,0.29629969969064035,0.323152540325049,2.93657121129495,0.606615199659287,-0.8069818785729513,1.2830685675055464,0.21684094433383005,3.510078245790939,0.0945765976442445,-0.14530894334146424,2.255162799321862,0.3107029406236719,4.3244802103304725,0.561390268849287,-0.04070638221593342,0.41966480992898936,0.3159558522265974,3.086900454855822,0.43373164056022284,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,False,False,False,False,True,False,False,False
9,33.37740455106704,21.8801060819828,3.481642031822717,17.833127729172624,Mexican,-1.0656029804488336,1.0164394903899818,0.4425908367379566,2.2409764415911035,0.28523467364128496,2.8718193949889166,0.5372298001270104,0.24055332370107685,2.960844469060698,0.07772685925533696,1.9847057134546704,1.1684847423335307,0.41525858513958686,2.2028726488209265,0.24129630146677633,-1.6273160446311201,0.251227238325083,0.37204048024910175,4.246216467879399,0.29723567474075036,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,False,False,False,False,False,False,False,True
10,6.580838778721143,98.28705465534338,4.508712864197466,19.78150696009702,Chinese,-0.886239669955473,1.1016073461952083,0.19374503096683704,2.8407042386928842,0.3902528931948534,-0.597822919406344,1.1429096163169168,0.3096486048379215,1.3208941868838582,0.22773173908011474,1.3794478278345075,0.5144519790154874,0.627811148817916,1.0,0.08541025001468082,0.7888093056961475,0.3688686087513683,0.14590612416551468,3.3710370919381987,-0.06972635316664677,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,True,False,False,False,False,False,False,False
11,12.785571292503183,32.21307932041794,5.0,10.0,Mexican,-0.4757334926833952,0.9274623244506789,0.2289280266734045,2.108306659999104,0.5210725080987052,0.47245699353575754,1.7926611967547876,0.34356129234775795,3.0684660774740964,-0.15475571829843537,-0.7429864569674548,1.223371171887425,0.36366153611642466,3.097871126581309,-0.08858054725933885,1.8300926665182153,2.17340901803631,0.3144007717585308,1.712521457197966,0.4921762647565865,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,False,False,False,False,False,False,False,True
12,7.094284475019874,22.476993896804544,4.237345774169123,23.803113942551754,Japanese,0.6896823102014212,0.4045286280879729,0.22031547732866164,4.285195557771968,0.16166204789781713,1.0959561180085615,1.1072151874594955,0.2274864362608916,3.1342439367275743,-0.19553542533891852,-0.1551520432431849,1.7397474995602,0.08597169298627123,3.2522081245635444,-0.2406133300956919,-0.7790954965228027,1.262361333278364,0.3223495307317856,1.8992857576753863,0.3072743066227781,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,False,False,False,False,True,False,False,False
