,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.742,0.042,0.669,0.82,0.002,0.001,594.0,820.0,1.02,0.75,True
beta_cost,-0.41,0.003,-0.415,-0.405,0.0,0.0,785.0,1101.0,1.01,-0.4,False
beta_log_dist,-0.607,0.04,-0.686,-0.537,0.001,0.001,715.0,1062.0,1.0,-0.6,True
beta_chinese,0.798,0.067,0.675,0.92,0.003,0.001,670.0,1300.0,1.0,0.83,True
beta_japanese,1.257,0.054,1.154,1.355,0.002,0.001,724.0,1027.0,1.0,1.25,True
beta_korean,0.731,0.095,0.544,0.9,0.004,0.002,606.0,1115.0,1.01,0.75,True
beta_indian,1.001,0.08,0.855,1.152,0.003,0.002,710.0,1087.0,1.02,1.0,True
beta_french,0.923,0.067,0.8,1.045,0.002,0.001,730.0,1210.0,1.01,0.95,True
beta_mexican,1.317,0.072,1.191,1.452,0.003,0.002,620.0,994.0,1.01,1.3,True
beta_lebanese,0.912,0.064,0.795,1.029,0.002,0.001,741.0,1009.0,1.0,0.9,True
