,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.749,0.044,0.676,0.836,0.002,0.001,547.0,992.0,1.01,0.75,True
beta_cost,-0.403,0.005,-0.411,-0.394,0.0,0.0,658.0,991.0,1.0,-0.4,True
beta_log_dist,-0.601,0.034,-0.664,-0.54,0.001,0.001,699.0,1057.0,1.01,-0.6,True
beta_chinese,0.859,0.084,0.7,1.01,0.003,0.002,755.0,1366.0,1.01,0.83,True
beta_japanese,1.296,0.095,1.114,1.465,0.003,0.002,780.0,1259.0,1.01,1.25,True
beta_korean,0.802,0.099,0.607,0.975,0.004,0.002,638.0,1171.0,1.01,0.75,True
beta_indian,1.013,0.07,0.893,1.151,0.003,0.001,668.0,937.0,1.01,1.0,True
beta_french,1.006,0.165,0.702,1.313,0.007,0.003,597.0,1033.0,1.01,0.95,True
beta_mexican,1.35,0.09,1.192,1.526,0.003,0.002,757.0,1280.0,1.0,1.3,True
beta_lebanese,0.96,0.076,0.824,1.106,0.003,0.001,708.0,927.0,1.0,0.9,True
