,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.747,0.058,0.651,0.862,0.002,0.001,579.0,924.0,1.01,0.75,True
beta_cost,-0.408,0.007,-0.423,-0.395,0.0,0.0,711.0,1276.0,1.0,-0.4,True
beta_log_dist,-0.582,0.041,-0.657,-0.505,0.001,0.001,764.0,1108.0,1.01,-0.6,True
beta_chinese,0.796,0.095,0.622,0.971,0.004,0.002,655.0,988.0,1.01,0.83,True
beta_japanese,1.25,0.066,1.136,1.382,0.003,0.001,547.0,1004.0,1.01,1.25,True
beta_korean,0.789,0.123,0.556,1.019,0.005,0.003,526.0,836.0,1.01,0.75,True
beta_indian,0.866,0.145,0.619,1.149,0.006,0.003,663.0,1000.0,1.01,1.0,True
beta_french,0.819,0.089,0.656,0.985,0.003,0.001,678.0,1543.0,1.0,0.95,True
beta_mexican,1.278,0.085,1.117,1.432,0.003,0.002,673.0,1020.0,1.01,1.3,True
beta_lebanese,0.818,0.076,0.675,0.953,0.003,0.001,691.0,1156.0,1.01,0.9,True
