,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.765,0.059,0.659,0.87,0.002,0.001,643.0,1073.0,1.01,0.75,True
beta_cost,-0.398,0.005,-0.407,-0.389,0.0,0.0,755.0,1193.0,1.0,-0.4,True
beta_log_dist,-0.587,0.033,-0.645,-0.527,0.001,0.001,784.0,893.0,1.01,-0.6,True
beta_chinese,0.832,0.073,0.696,0.968,0.003,0.001,664.0,1075.0,1.0,0.83,True
beta_japanese,1.242,0.092,1.07,1.408,0.003,0.002,702.0,1040.0,1.01,1.25,True
beta_korean,0.723,0.117,0.52,0.951,0.005,0.002,517.0,892.0,1.01,0.75,True
beta_indian,0.989,0.081,0.832,1.132,0.003,0.002,711.0,1163.0,1.0,1.0,True
beta_french,0.96,0.071,0.832,1.091,0.003,0.001,684.0,1079.0,1.01,0.95,True
beta_mexican,1.292,0.049,1.209,1.387,0.002,0.001,717.0,1124.0,1.0,1.3,True
beta_lebanese,0.889,0.074,0.759,1.036,0.003,0.001,617.0,1196.0,1.0,0.9,True
