restaurant_id,x,y,rating,cost,cuisine,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_30,c_31,c_32,c_33,c_34,c_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,Chinese,Ethiopian,French,Indian,Japanese,Korean,Lebanese,Mexican
0,87.34294027918162,96.8540662820932,4.000886843769769,22.80638523247451,Japanese,1.7494547413051793,1.689721393635075,0.3332548352975062,3.394671079782401,-0.029494168712172524,0.47298583148997897,0.4407030931867478,0.41111461885902867,3.0348095117250957,0.19514300875108392,-0.07540307488122842,0.2649604931166869,0.24053310232431913,3.783397490332057,-0.0657944200658105,0.6311195139463093,0.760088124479683,0.22847825642419228,3.467055465312433,-0.04571358632361229,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,False,False,False,False,True,False,False,False
1,86.919454021392,53.085569155559895,3.768364744599841,21.198627503342518,Mexican,-0.28607299681629417,1.0439287710354146,0.6166877954189343,1.69095525398892,-0.7756310402029979,-0.6814258794394451,0.48837748871834724,0.6178746356976073,2.6921530805533322,-0.3093372556878408,-0.28830434047804904,0.4328143775929356,0.5380078229782775,2.579323622323223,-0.06787182946364902,-0.5767314753911893,0.6150243679831611,0.20939154150871853,2.728746836460306,0.020544129772873135,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,False,False,False,False,False,False,False,True
2,23.27283279772907,1.1398804277429897,3.1071469575484687,22.399495570670243,French,-0.4845651322211443,0.3740256219436142,0.1477389720172493,2.100768917404947,0.02222337523186999,0.24243949669047796,1.0096065753290833,0.6219026551029925,2.842022782410879,0.07145946602785833,0.9353787404288548,0.9905440079315242,0.056552200423878374,2.0443352815433182,-0.5926949099913738,1.6113195438899603,0.9260468952083246,0.07809347403180232,2.1524906055089716,-0.3424205791265081,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,False,False,True,False,False,False,False,False
3,43.04688182924905,40.235136003736486,3.9896937946033644,20.30876476381565,Ethiopian,-2.653318559261479,0.6781535249039912,0.4906418621437605,3.445353943365228,-0.5075736808710205,-1.7007356340383315,0.9531089321315833,0.4084189667475443,2.5845063428328565,-0.25762295987526157,0.27416369248281636,0.8510651378977449,0.5285736979817491,4.4737768611676705,0.2759937535458412,-0.054687645477010646,0.5684755385853318,0.46350401896159205,2.9433025156526993,0.0354729846614882,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,False,True,False,False,False,False,False,False
4,52.267467135256965,47.83917958024024,3.6973108286336656,14.647438461997611,Chinese,-0.00828462937293585,1.6333967459726029,0.18794728526173043,3.1885770614566598,-0.2207215867735998,0.7531428339492002,0.8602935352666178,0.12385967122640637,3.270621748070096,-0.13173476554030716,0.22575569584765068,1.7681416261311425,0.3570178213998634,3.915896302876846,0.5967811153818032,-0.7043889808914436,2.8092814357835376,0.11635174802266265,2.260618046922798,0.6122053092390642,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,True,False,False,False,False,False,False,False
5,55.535647382233044,54.338601754254036,3.615091709698477,13.633949867790324,Japanese,-0.31963136376429857,1.0223223493767315,0.6052665828195027,3.1766072322161554,-0.2928110742940202,-1.534721340208044,0.712421366032372,0.297548997455787,4.3501525723414405,0.3287959233110122,-0.04720249868392905,0.21949490005180214,0.18161868886262522,3.4775574814787813,-0.40302335539307527,0.5596216338957125,0.2090970403896231,0.09850836309225379,3.5386348719623806,-0.1522199625118337,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,False,False,False,False,True,False,False,False
6,76.0895575602929,71.23745740820912,2.786135056963462,24.600380593972055,Indian,-0.53662936223473,0.9712012948594893,0.19448935763140493,3.962853062910901,0.1544178135895471,0.0051270781322723565,0.5160234009927545,0.4330073780178678,4.812669553204976,-0.05599323555464349,0.4690862791787431,0.605886757282778,0.1297244587195618,2.756906873200363,0.2307438442716333,0.6263910544277316,0.7165567140375944,0.20859009952298746,3.394364026925409,0.28940976553353354,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,False,False,False,True,False,False,False,False
7,61.96820961034396,42.60917704761922,3.6073024150226027,25.27459254625773,French,0.3154026684256969,2.9297545786258254,0.4054652991415355,2.9828374786806564,0.17680189696741702,-0.12022767015619135,0.6253964786808813,0.19303626737834736,3.5218545461146857,0.13506548110801947,-0.786867897940894,1.8399399914300532,0.0646817430946509,3.596211324780092,0.5699942054677216,0.10331784306752854,1.034081106898341,0.34792237706247686,1.0,-0.2808734557029887,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,False,False,True,False,False,False,False,False
8,28.90750280180877,97.38552412004462,3.807455537197862,22.701440256712946,Japanese,0.42105071625547846,3.74759307889216,0.49675319120074185,2.458765271845794,-0.16517470144555726,-0.8069818785729513,6.202867740003849,0.13204298126257882,2.677878329402134,0.22716872151341116,0.6008365376393676,1.2027904493550052,0.08855345685187072,3.0688254007247076,-0.12659647241282887,-1.7935646861413201,2.3331620153343655,0.4517960085022567,1.9988564531220832,0.3643769193694747,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,False,False,False,False,True,False,False,False
9,33.37740455106704,21.8801060819828,3.481642031822717,21.545317583595327,Mexican,-1.0656029804488336,0.978005346052123,0.17067168707286587,3.8718177352504592,0.05243517995697384,2.8718193949889166,0.6868435564042746,0.15354826926007775,1.7339430832962692,-0.07524223300264825,0.3978973161282013,1.4415117935110402,0.13694569044905616,3.96457084161067,0.03716243029354159,-1.8199091722802339,0.5943685107771522,0.4003162652997825,2.3221917899428037,0.17372367411405865,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,False,False,False,False,False,False,False,True
10,6.580838778721143,98.28705465534338,4.508712864197466,24.85430600638263,Chinese,-0.886239669955473,3.1891143884735387,0.4029045873042329,3.3127901627481378,-0.23144209452311088,-0.597822919406344,2.4683268876977866,0.3488348045940822,1.159268080886759,0.40651903666470623,0.5148953986088822,3.866442212407502,0.29217023356171307,1.5064670343700504,0.24178973022768432,0.4698013463434814,0.48650147873157557,0.2088115825848646,3.8166818744375415,-0.5152140956246614,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,True,False,False,False,False,False,False,False
11,12.785571292503183,32.21307932041794,5.0,25.7736204902173,Mexican,-0.4757334926833952,0.3023581857736951,0.3423645877373128,2.8691285742120773,-0.08440828732213497,0.47245699353575754,0.7029977046781264,0.32056270269390236,3.401997357024566,0.18656154312979326,-0.4236881367678475,0.6269515814313431,0.4129884442828932,2.286425748003624,-0.592618824866816,0.4345816402317921,0.547489783848242,0.09883217279466877,2.73121117487689,-0.608791272536659,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,False,False,False,False,False,False,False,True
12,7.094284475019874,22.476993896804544,4.237345774169123,22.11304404327753,Japanese,0.6896823102014212,0.29245795791011914,0.2906756093788551,1.8632124955081062,-0.23864406549294337,1.0959561180085615,2.2693915330098577,0.14510915085698242,3.413735545820089,0.0543389322228555,-0.4575015408916695,0.6528543979573721,0.0494422604474136,2.3103918089065294,-0.1693597885513578,0.6086311060171273,0.7026926584589182,0.09464726166705965,4.441418226282226,0.11822871984897079,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,False,False,False,False,True,False,False,False
13,39.36349149436049,89.61450048806353,4.5660029294815105,24.996044672059455,Korean,0.5611921760332811,1.6824198180911307,0.1321866258950051,4.111530272298201,0.32309457781400613,-1.2151688010922146,2.094315823837027,0.16215550054726127,1.7582785398782246,0.15034852832221388,-0.04976532861531708,0.4177307696344668,0.4847166404935446,4.2587494223639295,0.03192192677939741,-0.020325048865925427,0.5104971243788001,0.33410846587287096,2.809079236933501,-0.11800269775544862,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,False,False,False,False,False,True,False,False
14,34.54616119978671,98.47494372852714,5.0,24.41760115820716,Chinese,-1.3055485097805806,0.8545530938737169,0.34410628365024715,3.833492024812132,-0.47392702887349497,1.3423563714379816,1.3106635557643607,0.26281155904168413,2.5240995940383932,-0.20316052690248124,1.3531442212523233,1.008036876141345,0.48578865653662784,2.2127070922186927,0.08757955304124913,-1.5398369193205514,0.7703690953106441,0.06356414854590965,2.15197441376472,-0.17423892796873822,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,True,False,False,False,False,False,False,False
15,2.87320489632954,35.168473627012006,4.3446152235991145,17.34900409648014,Japanese,-1.1194752615996189,1.4153582287582647,0.5987932202193711,3.2469921697632684,0.2338741504750217,-0.12214978766832274,0.6805555081025013,0.04481926608253428,3.1690309371093948,0.43499776224752656,-2.3620736964776987,0.7755823425056284,0.19590727374889838,3.0172261076633444,0.2819036394353364,-0.8714226762607729,1.1562347716732817,0.24434842821969266,3.7262226472395508,0.08379394409010145,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,False,False,False,False,True,False,False,False
