mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,J,N,P,mtm,M,file,parameter
0.754,0.039,0.679,0.829,0.001,0.001,1298.0,1646.0,1.0,100,10000,10,5,0,trace_J100_N10000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_rating
-0.404,0.007,-0.418,-0.391,0.0,0.0,1000.0,1179.0,1.0,100,10000,10,5,0,trace_J100_N10000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_cost
-0.582,0.03,-0.641,-0.529,0.001,0.001,1684.0,1167.0,1.0,100,10000,10,5,0,trace_J100_N10000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_log_dist
0.892,0.094,0.725,1.064,0.009,0.004,116.0,333.0,1.03,100,10000,10,5,0,trace_J100_N10000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_chinese
1.354,0.092,1.196,1.546,0.009,0.004,104.0,270.0,1.04,100,10000,10,5,0,trace_J100_N10000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_japanese
0.899,0.11,0.684,1.089,0.009,0.003,146.0,435.0,1.03,100,10000,10,5,0,trace_J100_N10000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_korean
1.02,0.137,0.753,1.263,0.008,0.003,268.0,822.0,1.01,100,10000,10,5,0,trace_J100_N10000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_indian
0.939,0.099,0.768,1.149,0.009,0.004,133.0,234.0,1.03,100,10000,10,5,0,trace_J100_N10000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_french
1.391,0.096,1.195,1.562,0.009,0.004,125.0,294.0,1.03,100,10000,10,5,0,trace_J100_N10000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_mexican
0.932,0.102,0.734,1.114,0.008,0.004,143.0,284.0,1.03,100,10000,10,5,0,trace_J100_N10000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_lebanese
0.743,0.028,0.693,0.799,0.001,0.001,1323.0,1261.0,1.0,100,20000,10,5,0,trace_J100_N20000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_rating
-0.399,0.005,-0.408,-0.388,0.0,0.0,1014.0,1120.0,1.0,100,20000,10,5,0,trace_J100_N20000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_cost
-0.592,0.021,-0.633,-0.554,0.001,0.0,1493.0,1360.0,1.01,100,20000,10,5,0,trace_J100_N20000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_log_dist
0.855,0.073,0.712,0.987,0.008,0.004,77.0,156.0,1.05,100,20000,10,5,0,trace_J100_N20000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_chinese
1.296,0.071,1.162,1.416,0.008,0.006,71.0,134.0,1.06,100,20000,10,5,0,trace_J100_N20000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_japanese
0.82,0.082,0.664,0.97,0.008,0.003,107.0,251.0,1.03,100,20000,10,5,0,trace_J100_N20000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_korean
0.996,0.099,0.813,1.185,0.008,0.004,147.0,268.0,1.03,100,20000,10,5,0,trace_J100_N20000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_indian
0.94,0.075,0.799,1.073,0.008,0.004,89.0,190.0,1.04,100,20000,10,5,0,trace_J100_N20000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_french
1.322,0.075,1.186,1.463,0.008,0.007,81.0,150.0,1.05,100,20000,10,5,0,trace_J100_N20000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_mexican
0.913,0.077,0.778,1.052,0.008,0.004,87.0,214.0,1.04,100,20000,10,5,0,trace_J100_N20000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_lebanese
0.748,0.017,0.713,0.78,0.0,0.0,1271.0,1557.0,1.0,100,50000,10,5,0,trace_J100_N50000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_rating
-0.399,0.003,-0.406,-0.393,0.0,0.0,1259.0,1535.0,1.01,100,50000,10,5,0,trace_J100_N50000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_cost
-0.609,0.013,-0.632,-0.586,0.0,0.0,1229.0,910.0,1.0,100,50000,10,5,0,trace_J100_N50000_P10_prot2_mtm_steps5000_SCALE260313.nc,beta_log_dist
