J,N,P,M,file,parameter,true_value,posterior_mean,hdi_low,hdi_high,in_hdi,interval_width,relative_width,posterior_mse,abs_error,sq_error,r_hat,ess_bulk,ess_tail
100,20000,10,0,restaurants_mnl_P10_J100_N20k_I0_C0_M0_woJIT.nc,beta_rating,0.75,0.742,0.715,0.771,True,0.05600000000000005,0.07466666666666673,0.0002828356462218052,0.008000000000000007,6.400000000000012e-05,1.0,2363.0,2721.0
100,20000,10,0,restaurants_mnl_P10_J100_N20k_I0_C0_M0_woJIT.nc,beta_cost,-0.4,-0.398,-0.404,-0.393,True,0.01100000000000001,0.027500000000000024,1.0811837637233455e-05,0.0020000000000000018,4.0000000000000074e-06,1.0,2972.0,2800.0
100,20000,10,0,restaurants_mnl_P10_J100_N20k_I0_C0_M0_woJIT.nc,beta_log_dist,-0.6,-0.592,-0.611,-0.573,True,0.038000000000000034,0.0633333333333334,0.0001568318967303796,0.008000000000000007,6.400000000000012e-05,1.0,2864.0,2890.0
100,20000,10,0,restaurants_mnl_P10_J100_N20k_I0_C0_M0_woJIT.nc,beta_chinese,0.83,0.848,0.773,0.927,True,0.15400000000000003,0.18554216867469883,0.0019657435402923884,0.018000000000000016,0.00032400000000000056,1.01,857.0,1237.0
100,20000,10,0,restaurants_mnl_P10_J100_N20k_I0_C0_M0_woJIT.nc,beta_japanese,1.25,1.288,1.214,1.36,True,0.14600000000000013,0.1168000000000001,0.0029880513798695905,0.038000000000000034,0.0014440000000000026,1.01,812.0,1045.0
100,20000,10,0,restaurants_mnl_P10_J100_N20k_I0_C0_M0_woJIT.nc,beta_korean,0.75,0.812,0.727,0.894,True,0.16700000000000004,0.2226666666666667,0.005948980357616831,0.062000000000000055,0.0038440000000000067,1.01,907.0,1995.0
100,20000,10,0,restaurants_mnl_P10_J100_N20k_I0_C0_M0_woJIT.nc,beta_indian,1.0,0.985,0.878,1.083,True,0.20499999999999996,0.20499999999999996,0.003218512836934224,0.015000000000000013,0.0002250000000000004,1.0,1148.0,1571.0
100,20000,10,0,restaurants_mnl_P10_J100_N20k_I0_C0_M0_woJIT.nc,beta_french,0.95,0.932,0.854,1.007,True,0.1529999999999999,0.16105263157894728,0.00203058753779195,0.017999999999999905,0.0003239999999999966,1.01,890.0,1293.0
100,20000,10,0,restaurants_mnl_P10_J100_N20k_I0_C0_M0_woJIT.nc,beta_mexican,1.3,1.314,1.237,1.388,True,0.1509999999999998,0.116153846153846,0.001809562013332112,0.014000000000000012,0.00019600000000000035,1.01,861.0,1207.0
100,20000,10,0,restaurants_mnl_P10_J100_N20k_I0_C0_M0_woJIT.nc,beta_lebanese,0.9,0.905,0.824,0.982,True,0.15800000000000003,0.17555555555555558,0.0017909345291037939,0.0050000000000000044,2.5000000000000045e-05,1.01,890.0,1389.0
100,50000,10,0,restaurants_mnl_P10_J100_N50k_I0_C0_M0_woJIT.nc,beta_rating,0.75,0.748,0.731,0.765,True,0.03400000000000003,0.04533333333333337,9.167162355295497e-05,0.0020000000000000018,4.0000000000000074e-06,1.0,1087.0,1227.0
100,50000,10,0,restaurants_mnl_P10_J100_N50k_I0_C0_M0_woJIT.nc,beta_cost,-0.4,-0.399,-0.403,-0.396,True,0.007000000000000006,0.017500000000000016,3.838759672109549e-06,0.0010000000000000009,1.0000000000000019e-06,1.0,1954.0,1666.0
100,50000,10,0,restaurants_mnl_P10_J100_N50k_I0_C0_M0_woJIT.nc,beta_log_dist,-0.6,-0.61,-0.623,-0.598,True,0.025000000000000022,0.041666666666666706,0.00013249681179296866,0.010000000000000009,0.00010000000000000018,1.0,1355.0,1236.0
100,50000,10,0,restaurants_mnl_P10_J100_N50k_I0_C0_M0_woJIT.nc,beta_chinese,0.83,0.855,0.799,0.903,True,0.10399999999999998,0.1253012048192771,0.001365283314344531,0.025000000000000022,0.0006250000000000011,1.01,298.0,544.0
