J,N,P,mtm,file,parameter,true_value,posterior_mean,hdi_low,hdi_high,in_hdi,interval_width,relative_width,posterior_mse,abs_error,sq_error,r_hat,ess_bulk,ess_tail
100,10000,10,5,trace_J100_N10000_P10_steps10000_SCALE_260909.nc,beta_rating,0.75,0.755,0.674,0.83,True,0.15599999999999992,0.20799999999999988,0.0019198287,0.0050000000000000044,2.5000000000000045e-05,1.0,2500.0,3395.0
100,10000,10,5,trace_J100_N10000_P10_steps10000_SCALE_260909.nc,beta_cost,-0.4,-0.405,-0.42,-0.391,True,0.02899999999999997,0.07249999999999993,0.00016474734,0.0050000000000000044,2.5000000000000045e-05,1.0,2866.0,3110.0
100,10000,10,5,trace_J100_N10000_P10_steps10000_SCALE_260909.nc,beta_log_dist,-0.6,-0.582,-0.639,-0.525,True,0.11399999999999999,0.19,0.0014196268,0.018000000000000016,0.00032400000000000056,1.0,5400.0,4770.0
100,10000,10,5,trace_J100_N10000_P10_steps10000_SCALE_260909.nc,beta_chinese,0.83,0.869,0.659,1.108,True,0.44900000000000007,0.5409638554216869,0.020423578,0.039000000000000035,0.0015210000000000026,1.01,180.0,142.0
100,10000,10,5,trace_J100_N10000_P10_steps10000_SCALE_260909.nc,beta_japanese,1.25,1.33,1.118,1.551,True,0.43299999999999983,0.3463999999999999,0.023842692,0.08000000000000007,0.006400000000000012,1.01,178.0,138.0
100,10000,10,5,trace_J100_N10000_P10_steps10000_SCALE_260909.nc,beta_korean,0.75,0.875,0.65,1.14,True,0.4899999999999999,0.6533333333333332,0.035741456,0.125,0.015625,1.01,227.0,207.0
100,10000,10,5,trace_J100_N10000_P10_steps10000_SCALE_260909.nc,beta_indian,1.0,0.998,0.701,1.283,True,0.582,0.582,0.02875877,0.0020000000000000018,4.0000000000000074e-06,1.01,299.0,287.0
100,10000,10,5,trace_J100_N10000_P10_steps10000_SCALE_260909.nc,beta_french,0.95,0.913,0.7,1.158,True,0.45799999999999996,0.4821052631578947,0.019133803,0.03699999999999992,0.0013689999999999941,1.01,197.0,133.0
100,10000,10,5,trace_J100_N10000_P10_steps10000_SCALE_260909.nc,beta_mexican,1.3,1.364,1.142,1.593,True,0.45100000000000007,0.34692307692307695,0.021536373,0.06400000000000006,0.004096000000000008,1.01,194.0,149.0
100,10000,10,5,trace_J100_N10000_P10_steps10000_SCALE_260909.nc,beta_lebanese,0.9,0.909,0.676,1.157,True,0.481,0.5344444444444444,0.01924818,0.009000000000000008,8.100000000000014e-05,1.01,200.0,136.0
