,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.758,0.044,0.68,0.842,0.002,0.001,728.0,1135.0,1.01,0.75,True
beta_cost,-0.407,0.005,-0.417,-0.399,0.0,0.0,543.0,525.0,1.01,-0.4,True
beta_log_dist,-0.579,0.032,-0.636,-0.518,0.001,0.001,661.0,1299.0,1.0,-0.6,True
beta_chinese,0.726,0.093,0.541,0.882,0.004,0.002,623.0,1088.0,1.01,0.83,True
beta_japanese,1.178,0.078,1.044,1.331,0.003,0.002,675.0,900.0,1.02,1.25,True
beta_korean,0.719,0.082,0.558,0.866,0.004,0.002,472.0,638.0,1.01,0.75,True
beta_indian,0.877,0.075,0.742,1.018,0.003,0.002,551.0,611.0,1.0,1.0,True
beta_french,0.878,0.152,0.59,1.146,0.006,0.003,675.0,1232.0,1.01,0.95,True
beta_mexican,1.256,0.077,1.105,1.391,0.003,0.002,555.0,964.0,1.01,1.3,True
beta_lebanese,0.857,0.114,0.647,1.076,0.005,0.003,453.0,822.0,1.01,0.9,True
