,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.733,0.068,0.606,0.858,0.003,0.002,636.0,769.0,1.01,0.75,True
beta_cost,-0.41,0.01,-0.429,-0.392,0.001,0.001,334.0,178.0,1.01,-0.4,True
beta_log_dist,-0.586,0.066,-0.701,-0.456,0.003,0.001,645.0,1001.0,1.0,-0.6,True
beta_chinese,0.667,0.196,0.403,1.012,0.015,0.025,310.0,125.0,1.01,0.83,True
beta_japanese,1.137,0.171,0.854,1.486,0.011,0.01,293.0,242.0,1.03,1.25,True
beta_korean,0.552,0.186,0.196,0.874,0.01,0.005,366.0,585.0,1.01,0.75,True
beta_indian,0.916,0.162,0.622,1.214,0.008,0.005,396.0,420.0,1.01,1.0,True
beta_french,0.821,0.174,0.503,1.141,0.008,0.004,539.0,911.0,1.01,0.95,True
beta_mexican,1.158,0.094,0.985,1.33,0.004,0.002,528.0,681.0,1.02,1.3,True
beta_lebanese,0.769,0.154,0.495,1.07,0.009,0.004,325.0,639.0,1.02,0.9,True
