,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.731,0.056,0.622,0.826,0.002,0.001,715.0,1027.0,1.01,0.75,True
beta_cost,-0.399,0.004,-0.405,-0.392,0.0,0.0,712.0,1336.0,1.0,-0.4,True
beta_log_dist,-0.606,0.047,-0.694,-0.52,0.002,0.001,694.0,1066.0,1.0,-0.6,True
beta_chinese,0.757,0.072,0.627,0.894,0.003,0.002,578.0,1072.0,1.01,0.83,True
beta_japanese,1.205,0.075,1.062,1.337,0.003,0.002,545.0,990.0,1.01,1.25,True
beta_korean,0.671,0.096,0.503,0.857,0.004,0.002,608.0,996.0,1.01,0.75,True
beta_indian,0.888,0.119,0.679,1.12,0.005,0.002,495.0,1012.0,1.01,1.0,True
beta_french,0.863,0.09,0.709,1.035,0.004,0.002,547.0,945.0,1.01,0.95,True
beta_mexican,1.211,0.081,1.062,1.353,0.004,0.003,532.0,732.0,1.01,1.3,True
beta_lebanese,0.817,0.092,0.63,0.971,0.005,0.002,412.0,796.0,1.01,0.9,True
