,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.748,0.03,0.693,0.802,0.001,0.001,562.0,1078.0,1.02,0.75,True
beta_cost,-0.401,0.006,-0.412,-0.391,0.0,0.0,726.0,1136.0,1.01,-0.4,True
beta_log_dist,-0.593,0.021,-0.629,-0.554,0.001,0.0,589.0,964.0,1.01,-0.6,True
beta_chinese,0.68,0.059,0.572,0.79,0.002,0.001,632.0,1014.0,1.0,0.83,False
beta_japanese,1.127,0.049,1.033,1.214,0.002,0.001,505.0,672.0,1.01,1.25,False
beta_korean,0.65,0.068,0.523,0.775,0.003,0.001,488.0,931.0,1.02,0.75,True
beta_indian,0.85,0.054,0.753,0.955,0.002,0.001,573.0,734.0,1.01,1.0,False
beta_french,0.81,0.087,0.652,0.973,0.003,0.002,649.0,933.0,1.01,0.95,True
beta_mexican,1.163,0.049,1.07,1.25,0.002,0.001,643.0,743.0,1.01,1.3,False
beta_lebanese,0.787,0.072,0.648,0.909,0.003,0.002,549.0,757.0,1.02,0.9,True
